Year,Annual,Winter,Spring,Summer,Autumn
1896,9999.9, -10.0, 164.8,  46.8, 315.5
1897,1016.0, 426.4, 169.3, 148.7, 263.4
1898, 844.2, 468.6, 129.8, 117.4, 297.4
1899,1241.6, 312.5, 230.7, 136.8, 464.6
1900,1242.7, 376.1, 338.6, 192.8, 309.7
1901, 986.7, 372.0, 223.8, 106.2, 347.6
1902,1027.4, 361.7, 239.4, 106.3, 291.8
1903, 985.6, 297.1, 131.0, 122.6, 483.8
1904,1134.0, 417.9, 209.2, 103.4, 284.7
1905,1055.0, 438.8, 194.2, 153.8, 373.9
1906,1071.6, 342.6, 150.1,  71.5, 472.4
1907, 791.5, 400.7, 132.3,  24.5, 198.0
1908, 969.2, 397.9, 158.5,  72.5, 373.0
1909, 877.0, 347.6, 120.9,  87.7, 382.0
1910, 993.2, 299.9, 160.2,  55.0, 394.5
1911, 724.1, 277.0, 165.6,  73.1, 242.4
1912,1014.3, 314.4, 139.3, 206.1, 337.1
1913, 881.1, 294.6, 214.6, 131.1, 325.4
1914, 922.0, 324.5, 120.3,  80.5, 391.0
1915, 902.4, 259.0, 193.3,  35.8, 285.6
1916, 795.6, 294.2, 278.2, 119.1, 177.6
1917, 876.9, 225.9, 259.2, 108.0, 180.5
1918, 791.3, 464.0, 131.6, 118.5, 190.6
1919, 768.2, 335.9, 177.0,  43.6, 217.0
1920, 842.5, 233.6, 121.5, 122.9, 375.2
1921, 944.9, 286.1, 101.0, 128.0, 421.9
1922, 655.2, 209.1, 135.2,  57.9, 203.7
1923, 815.3, 342.2, 154.5,  86.1, 185.1
1924, 966.0, 524.9,  81.5,  84.0, 352.2
1925, 917.4, 426.2, 165.4,  83.8, 137.6
1926,1037.3, 488.0, 194.6,  93.3, 336.9
1927,1074.5, 371.5, 251.0, 126.4, 408.4
1928, 848.9, 252.2, 215.6,  58.7, 280.8
1929, 565.7, 171.0, 155.5,  87.2, 149.5
1930, 837.8, 350.1, 196.8,  45.9, 286.6
1931,1265.6, 393.9, 246.4, 167.8, 320.4
1932,1142.9, 422.5, 255.6, 206.6, 363.0
1933,1155.3, 287.9, 215.8,  99.9, 418.1
1934,1111.7, 539.0, 190.5,  84.1, 349.6
1935,1061.1, 549.8, 204.2, 135.0, 214.8
1936, 934.9, 355.7, 219.6, 138.1, 180.1
1937,1070.6, 285.6, 239.8, 169.0, 360.2
1938, 819.1, 362.9, 171.3,  44.8, 223.4
1939,1151.1, 518.7, 156.2, 116.0, 348.1
1940,1152.8, 484.4, 275.5,  82.9, 327.5
1941,1195.8, 490.9, 252.5, 111.9, 399.4
1942, 854.7, 278.1, 182.5, 150.6, 237.7
1943, 810.9, 287.4, 227.9, 100.0, 239.9
1944, 895.4, 353.5, 149.1,  53.6, 389.7
1945,1140.0, 359.5, 233.9,  68.7, 408.2
